year,crop,acres_harvested,acres_planted,production,yield
1980,Barley,7260000,8320000,361135000,49.7
1980,"Corn, grain",72961000,74542442.53586191,6639396000,91
1980,"Corn, silage",9299000,9500557.464138098,111990000,12
1980,Cotton,13214800,14533800,5338608000,404
1980,Peanuts,1399800,1521400,2302762000,1645
1980,Potatoes,1147800,1175400,303905000,265
1980,Rice,3312000,3380000,146150000,44.13
1980,Sorghum,12513000,14772462.217860647,579343000,46.3
1980,Soybeans,67813000,69930000,1797543000,26.5
1980,Sugar beets,1189500,1231300,23502000,19.8
1980,Wheat,71125000,80788000,2380934000,33.5
1981,Barley,9038000,9618000,473512000,52.4
1981,"Corn, grain",74524000,75663034.70922722,8118650000,108.9
1981,"Corn, silage",8307000,8433965.290772779,117891000,14.2
1981,Cotton,13841200,14330100,7509936000,542
1981,Peanuts,1488700,1514000,3981850000,2675
1981,Potatoes,1232400,1255300,340623000,276
1981,Rice,3792000,3827000,182742000,48.19
1981,Sorghum,13677000,15064275.046670815,875835000,64
1981,Soybeans,66163000,67543000,1989110000,30.1
1981,Sugar beets,1228100,1251600,27538000,22.4
1981,Wheat,80642000,88251000,2785357000,34.5
1982,Barley,9013000,9549000,515935000,57.2
1982,"Corn, grain",72719000,73514705.05489619,8235101000,113.2
1982,"Corn, silage",8252000,8342294.945103803,117782000,14.3
1982,Cotton,9733900,11345400,5742096000,590
1982,Peanuts,1277400,1311400,3440255000,2693
1982,Potatoes,1266900,1302800,355131000,280
1982,Rice,3262000,3295000,153637000,47.1
1982,Sorghum,14137000,15372309.090909092,835083000,59.1
1982,Soybeans,69442000,70884000,2190297000,31.5
1982,Sugar beets,1026800,1054200,20894000,20.3
1982,Wheat,77937000,86232000,2764967000,35.5
1983,Barley,9721000,10411000,508269000,52.3
1983,"Corn, grain",51479000,52277837.51918633,4174251000,81.1
1983,"Corn, silage",7808000,7929162.480813669,96238000,12.3
1983,Cotton,7347500,7926300,3730272000,508
1983,Peanuts,1373500,1411000,3295530000,2399
1983,Potatoes,1241500,1271100,333726000,269
1983,Rice,2169000,2190000,99720000,45.98
1983,Sorghum,10001000,11166530.07518797,487521000,48.7
1983,Soybeans,62525000,63779000,1635772000,26.2
1983,Sugar beets,1055800,1081400,20992000,19.9
1983,Wheat,61390000,76419000,2419824000,39.4
1984,Barley,11218000,11934000,598034000,53.3
1984,"Corn, grain",71897000,72879075.80068487,7672130000,106.7
1984,"Corn, silage",7535000,7637924.199315137,104491000,13.9
1984,Cotton,10379100,11145400,6231264000,600
1984,Peanuts,1528000,1558600,4405945000,2883
1984,Potatoes,1297800,1333700,362039000,279
1984,Rice,2802000,2830000,138810000,49.54
1984,Sorghum,15355000,16595788.649461288,866241000,56.4
1984,Soybeans,66113000,67755000,1860863000,28.1
1984,Sugar beets,1096300,1123600,22134000,20.2
1984,Wheat,66928000,79213000,2594777000,38.8
1985,Barley,11591000,13139000,590213000,50.9
1985,"Corn, grain",75209000,76153175.9263756,8875453000,118
1985,"Corn, silage",7155000,7244824.0736243995,102664000,14.3
1985,Cotton,10229000,10684600,6447456000,630
1985,Peanuts,1467400,1490400,4122787000,2810
1985,Potatoes,1358700,1406700,406609000,299
1985,Rice,2492000,2512000,134913000,54.14
1985,Sorghum,16782000,17721117.463617463,1120271000,66.8
1985,Soybeans,61599000,63145000,2099056000,34.1
1985,Sugar beets,1102500,1124500,22529000,20.4
1985,Wheat,64704000,75535000,2424115000,37.5
1986,Barley,11974000,13024000,608532000,50.8
1986,"Corn, grain",68907000,70055068.83504812,8225764000,119.4
1986,"Corn, silage",6418000,6524931.164951875,90227000,14.1
1986,Cotton,8468400,10044600,4670928000,552
1986,Peanuts,1535200,1564700,3697085000,2408
1986,Potatoes,1220200,1256600,361743000,296
1986,Rice,2360000,2381000,133356000,56.51
1986,Sorghum,13862000,14806017.547524545,938869000,67.7
1986,Soybeans,58312000,60405000,1942558000,33.3
1986,Sugar beets,1191200,1231500,25162000,21.1
1986,Wheat,60688000,71998000,2090570000,34.4
1987,Barley,9957000,10929000,521499000,52.4
1987,"Corn, grain",59505000,60141849.4938854,7131300000,119.8
1987,"Corn, silage",5994000,6058150.5061145965,86442000,14.4
1987,Cotton,10030300,10397200,7084752000,706
1987,Peanuts,1547400,1567400,3616010000,2337
1987,Potatoes,1293400,1316600,389320000,301
1987,Rice,2333000,2356000,129603000,55.55
1987,Sorghum,10531000,11295842.700729927,730809000,69.4
1987,Soybeans,57172000,58180000,1937722000,33.9
1987,Sugar beets,1252400,1266700,28072000,22.4
1987,Wheat,55945000,65829000,2107685000,37.7
1988,Barley,7636000,9831000,289994000,38
1988,"Corn, grain",58250000,59270563.17711229,4928681000,84.6
1988,"Corn, silage",8301000,8446436.82288771,78911000,9.5
1988,Cotton,11948200,12514800,7397520000,619
1988,Peanuts,1628400,1657400,3980917000,2445
1988,Potatoes,1259300,1284700,356438000,283
1988,Rice,2900000,2933000,159897000,55.14
1988,Sorghum,9042000,9782573.849372385,576686000,63.8
1988,Soybeans,57373000,58840000,1548841000,27
1988,Sugar beets,1300700,1327200,24810000,19.1
1988,Wheat,53189000,65529000,1812201000,34.1
1989,Barley,8313000,9125000,404203000,48.6
1989,"Corn, grain",64783000,65629664.598187394,7531953000,116.3
1989,"Corn, silage",6606000,6692335.401812605,86111000,13
1989,Cotton,9537700,10586600,5853888000,614
1989,Peanuts,1644700,1665200,3989995000,2426
1989,Potatoes,1281500,1305000,370444000,289
1989,Rice,2687000,2731000,154487000,57.49
1989,Sorghum,11103000,12054631.226382688,615420000,55.4
1989,Soybeans,59538000,60820000,1923666000,32.3
1989,Sugar beets,1294500,1324400,25131000,19.4
1989,Wheat,62189000,76615000,2036618000,32.7
1990,Barley,7529000,8221000,422196000,56.1
1990,"Corn, grain",66952000,67951584.4269586,7934028000,118.5
1990,"Corn, silage",6123000,6214415.573041396,86820000,14.2
1990,Cotton,11731600,12348100,7442592000,634
1990,Peanuts,1815500,1846000,3603650000,1985
1990,Potatoes,1370600,1399700,402110000,293
1990,Rice,2823000,2897000,156088000,55.29
1990,Sorghum,9089000,9957634.671381032,573303000,63.1
1990,Soybeans,56512000,57795000,1925947000,34.1
1990,Sugar beets,1377200,1400400,27513000,20
1990,Wheat,69103000,77041000,2729778000,39.5
1991,Barley,8413000,8941000,464326000,55.2
1991,"Corn, grain",68822000,69735501.3740295,7474765000,108.6
1991,"Corn, silage",6140000,6221498.625970491,81216000,13.2
1991,Cotton,12959500,14052100,8454864000,652
1991,Peanuts,2015700,2039200,4926570000,2444
1991,Potatoes,1374400,1407500,417622000,304
1991,Rice,2781000,2884000,159367000,57.31
1991,Sorghum,9870000,10547829.614604462,584860000,59.3
1991,Soybeans,58011000,59180000,1986539000,34.2
1991,Sugar beets,1386700,1427400,28203000,20.3
1991,Wheat,57803000,69881000,1980139000,34.3
1992,Barley,7285000,7762000,455090000,62.5
1992,"Corn, grain",72077000,73151523.39211221,9476698000,131.5
1992,"Corn, silage",6069000,6159476.6078878,87663000,14.4
1992,Cotton,11123300,13240000,7784880000,700
1992,Peanuts,1669100,1686600,4284416000,2567
1992,Potatoes,1315000,1339300,425367000,323
1992,Rice,3132000,3176000,179658000,57.36
1992,Sorghum,12050000,12699580.100775814,875022000,72.6
1992,Soybeans,58233000,59180000,2190354000,37.6
1992,Sugar beets,1411500,1436700,29143000,20.6
1992,Wheat,62761000,72219000,2466798000,39.3
1993,Barley,6753000,7786000,398041000,58.9
1993,"Corn, grain",62933000,66075319.4993979,6337730000,100.7
1993,"Corn, silage",6823000,7163680.500602099,81131000,11.9
1993,Cotton,12783300,13438300,7744128000,606
1993,Peanuts,1689800,1733500,3392415000,2008
1993,Potatoes,1321200,1389900,430349000,326
1993,Rice,2833000,2920000,156110000,55.1
1993,Sorghum,8916000,9507706.053739075,534172000,59.9
1993,Soybeans,57307000,60085000,1869718000,32.6
1993,Sugar beets,1409400,1437700,26249000,18.6
1993,Wheat,62712000,72168000,2396440000,38.2
1994,Barley,6667000,7159000,374862000,56.2
1994,"Corn, grain",72514000,73153575.8714576,10050520000,138.6
1994,"Corn, silage",5717000,5767424.128542393,90170000,15.8
1994,Cotton,13322300,13720100,9437760000,708
1994,Peanuts,1618500,1641000,4247455000,2624
1994,Potatoes,1385100,1421800,469425000,339
1994,Rice,3316000,3353000,197779000,59.64
1994,Sorghum,8882000,9403735.828645607,645741000,72.7
1994,Soybeans,60809000,61620000,2514869000,41.4
1994,Sugar beets,1443000,1475800,31853000,22.1
1994,Wheat,61770000,70349000,2320981000,37.6
1995,Barley,6279000,6689000,359376000,57.2
1995,"Corn, grain",65210000,66086480.97999461,7400051000,113.5
1995,"Corn, silage",5321000,5392519.020005387,78181000,14.7
1995,Cotton,16006700,16931400,8591904000,537
1995,Peanuts,1517000,1537500,3461475000,2282
1995,Potatoes,1376100,1400700,445099000,323
1995,Rice,3093000,3121000,173871000,56.21
1995,Sorghum,8253000,8979637.318255251,458648000,55.6
1995,Soybeans,61544000,62495000,2174254000,35.3
1995,Sugar beets,1420100,1444600,28065000,19.8
1995,Wheat,60955000,69031000,2182708000,35.8
1996,Barley,6707000,7094000,392433000,58.5
1996,"Corn, grain",72644000,73551922.35243,9232557000,127.1
1996,"Corn, silage",5607000,5677077.647569999,86581000,15.4
1996,Cotton,12888100,14652500,9092160000,705
1996,Peanuts,1380000,1401500,3661205000,2653
1996,Potatoes,1425900,1454700,499254000,350
1996,Rice,2804000,2824000,171599000,61.2
1996,Sorghum,11811000,12644161.108386464,795274000,67.3
1996,Soybeans,63349000,64195000,2380274000,37.6
1996,Sugar beets,1323300,1368400,26680000,20.2
1996,Wheat,62819000,75105000,2277388000,36.3
1997,Barley,6198000,6706000,359878000,58.1
1997,"Corn, grain",72671000,73420556.71006669,9206832000,126.7
1997,"Corn, silage",6054000,6116443.289933312,97192000,16.1
1997,Cotton,13406000,13898000,9020640000,673
1997,Peanuts,1413800,1434000,3539380000,2503
1997,Potatoes,1353600,1383500,467091000,345
1997,Rice,3103000,3125000,182992000,58.97
1997,Sorghum,9158000,9619249.320794148,633545000,69.2
1997,Soybeans,69110000,70005000,2688750000,38.9
1997,Sugar beets,1428300,1459300,29886000,20.9
1997,Wheat,62840000,70412000,2481466000,39.5
1998,Barley,5854000,6325000,351569000,60.1
1998,"Corn, grain",72589000,74126737.98119794,9758685000,134.4
1998,"Corn, silage",5913000,6038262.018802069,95479000,16.1
1998,Cotton,10683600,13392500,6680736000,625
1998,Peanuts,1467000,1521000,3963440000,2702
1998,Potatoes,1386900,1415800,475667000,343
1998,Rice,3257000,3285000,184443000,56.63
1998,Sorghum,7723000,9256829.535549745,519933000,67.3
1998,Soybeans,70441000,72025000,2741014000,38.9
1998,Sugar beets,1450700,1497800,32499000,22.4
1998,Wheat,59002000,65821000,2547321000,43.2
1999,Barley,4573000,4983000,271996000,59.5
1999,"Corn, grain",70487000,71280996.57623751,9430612000,133.8
1999,"Corn, silage",6037000,6105003.42376248,95633000,15.8
1999,Cotton,13424900,14873500,8144640000,607
1999,Peanuts,1436000,1534500,3829490000,2667
1999,Potatoes,1331800,1376100,478093000,359
1999,Rice,3512000,3531000,206027000,58.66
1999,Sorghum,8544000,8952693.140794223,595166000,69.7
1999,Soybeans,72446000,73730000,2653758000,36.6
1999,Sugar beets,1527300,1560600,33420000,21.9
1999,Wheat,53773000,62664000,2295560000,42.7
2000,Barley,5200000,5801000,317804000,61.1
2000,"Corn, grain",72440000,73389297.77641934,9915051000,136.9
2000,"Corn, silage",6082000,6161702.223580653,102156000,16.8
2000,Cotton,13053000,15517200,8250384000,632
2000,Peanuts,1336000,1536800,3265505000,2444
2000,Potatoes,1347500,1383100,513544000,381
2000,Rice,3039000,3060000,190872000,62.81
2000,Sorghum,7726000,8875633.433283359,470526000,60.9
2000,Soybeans,72408000,74266000,2757810000,38.1
2000,Sugar beets,1373000,1564200,32541000,23.7
2000,Wheat,53063000,62549000,2228160000,42
2001,Barley,4273000,4951000,248329000,58.1
2001,"Corn, grain",68768000,69495062.55506608,9502580000,138.2
2001,"Corn, silage",6142000,6206937.444933921,101992000,16.6
2001,Cotton,13827700,15768500,9745344000,705
2001,Peanuts,1411900,1541200,4276704000,3029
2001,Potatoes,1220900,1246900,437673000,358
2001,Rice,3314000,3334000,215270000,64.96
2001,Sorghum,8579000,9844092.710782668,514040000,59.9
2001,Soybeans,72975000,74075000,2890682000,39.6
2001,Sugar beets,1241100,1365300,25708000,20.7
2001,Wheat,48473000,59432000,1947453000,40.2
2002,Barley,4123000,5008000,226906000,55
2002,"Corn, grain",69330000,71544511.8505729,8966787000,129.3
2002,"Corn, silage",7122000,7349488.149427092,102293000,14.4
2002,Cotton,12416600,13957900,8260128000,665
2002,Peanuts,1291700,1353000,3321040000,2571
2002,Potatoes,1265900,1299600,458171000,362
2002,Rice,3207000,3240000,210960000,65.78
2002,Sorghum,7125000,9069643.568299482,360713000,50.6
2002,Soybeans,72497000,73963000,2756147000,38
2002,Sugar beets,1360700,1427300,27707000,20.4
2002,Wheat,45824000,60318000,1605878000,35
2003,Barley,4727000,5348000,278283000,58.9
2003,"Corn, grain",70944000,71928634.30804752,10087292000,142.2
2003,"Corn, silage",6583000,6674365.691952481,107378000,16.3
2003,Cotton,12003400,13479600,8762496000,730
2003,Peanuts,1312000,1344000,4144150000,3159
2003,Potatoes,1249600,1273600,458199000,367
2003,Rice,2997000,3022000,199897000,66.7
2003,Sorghum,7798000,9023112.63972485,411219000,52.7
2003,Soybeans,72476000,73404000,2453845000,33.9
2003,Sugar beets,1347800,1365400,30710000,22.8
2003,Wheat,53063000,62141000,2344415000,44.2
2004,Barley,4021000,4527000,279743000,69.6
2004,"Corn, grain",73631000,74736406.95078513,11805581000,160.3
2004,"Corn, silage",6101000,6192593.04921487,107293000,17.6
2004,Cotton,13057000,13658600,11160336000,855
2004,Peanuts,1394000,1430000,4288200000,3076
2004,Potatoes,1166000,1192400,455806000,391
2004,Rice,3325000,3347000,232362000,69.88
2004,Sorghum,6517000,7102382.006114427,453606000,69.6
2004,Soybeans,73958000,75208000,3123790000,42.2
2004,Sugar beets,1306700,1345600,30021000,23
2004,Wheat,49969000,59644000,2156790000,43.2
2005,Barley,3269000,3875000,211896000,64.8
2005,"Corn, grain",75117000,75795441.44755512,11112187000,147.9
2005,"Corn, silage",5930000,5983558.552444877,106486000,18
2005,Cotton,13802600,14245400,11467296000,831
2005,Peanuts,1629000,1657000,4869860000,2989
2005,Potatoes,1086200,1108400,423788000,390
2005,Rice,3364000,3384000,222833000,66.24
2005,Sorghum,5736000,6122067.802215975,392739000,68.5
2005,Soybeans,71251000,72032000,3068342000,43.1
2005,Sugar beets,1242900,1299800,27433000,22.1
2005,Wheat,50104000,57214000,2103325000,42
2006,Barley,2951000,3452000,180165000,61.1
2006,"Corn, grain",70638000,71738899.52674231,10531123000,149.1
2006,"Corn, silage",6487000,6588100.473257699,105294000,16.2
2006,Cotton,12731500,15274000,10362144000,814
2006,Peanuts,1210000,1243000,3464250000,2863
2006,Potatoes,1120200,1139400,440698000,393
2006,Rice,2821000,2838000,194585000,68.98
2006,Sorghum,4937000,6093700.605601817,276824000,56.1
2006,Soybeans,74602000,75522000,3196726000,42.9
2006,Sugar beets,1303600,1366200,34064000,26.1
2006,Wheat,46800000,57334000,1808416000,38.6
2007,Barley,3502000,4018000,210110000,60
2007,"Corn, grain",86520000,87405012.31367466,13037875000,150.7
2007,"Corn, silage",6060000,6121987.6863253405,106229000,17.5
2007,Cotton,10489100,10827200,9219312000,879
2007,Peanuts,1195000,1230000,3672250000,3073
2007,Potatoes,1122200,1141900,444875000,396
2007,Rice,2748000,2761000,198388000,72.19
2007,Sorghum,6792000,7291189.309576837,497445000,73.2
2007,Soybeans,64146000,64741000,2677117000,41.7
2007,Sugar beets,1246800,1268800,31834000,25.5
2007,Wheat,50999000,60460000,2051088000,40.2
2008,Barley,3775000,4239000,239072000,63.3
2008,"Corn, grain",78570000,79909224.39999527,12043203000,153.3
2008,"Corn, silage",5971000,6072775.600004732,111792000,18.7
2008,Cotton,7568700,9471000,6156192000,813
2008,Peanuts,1507000,1534000,5162400000,3426
2008,Potatoes,1046900,1059600,415055000,396
2008,Rice,2976000,2995000,203733000,68.46
2008,Sorghum,7312000,7955728.638011393,475855000,65.1
2008,Soybeans,74681000,75718000,2967007000,39.7
2008,Sugar beets,1004500,1090700,26881000,26.8
2008,Wheat,56036000,63617000,2511896000,44.8
2009,Barley,3114000,3568000,226603000,72.8
2009,"Corn, grain",79490000,80692228.45055526,13067156000,164.4
2009,"Corn, silage",5605000,5689771.549444738,108221000,19.3
2009,Cotton,7533700,9149500,5847840000,776
2009,Peanuts,1079000,1116000,3691650000,3421
2009,Potatoes,1044000,1071200,432601000,414
2009,Rice,3103000,3135000,219850000,70.85
2009,Sorghum,5502000,6306704.533611256,381605000,69.4
2009,Soybeans,76372000,77451000,3360931000,44
2009,Sugar beets,1148500,1185800,29783000,25.9
2009,Wheat,49841000,59017000,2208918000,44.3
2010,Barley,2465000,2872000,180241000,73.1
2010,"Corn, grain",81446000,82549568.82304943,12425330000,152.6
2010,"Corn, silage",5567000,5642431.17695057,107314000,19.3
2010,Cotton,10698700,10974200,8688864000,812
2010,Peanuts,1255000,1288000,4156840000,3312
2010,Potatoes,1008900,1026700,404549000,401
2010,Rice,3615000,3636000,243104000,67.25
2010,Sorghum,4806000,5081412.7609295,345464000,71.9
2010,Soybeans,76610000,77404000,3331306000,43.5
2010,Sugar beets,1156100,1171900,32034000,27.7
2010,Wheat,46883000,52620000,2163023000,46.1
2011,Barley,2241000,2564000,154788000,69.1
2011,"Corn, grain",83879000,85860776.09281403,12313956000,146.8
2011,"Corn, silage",5935000,6075223.9071859615,109091000,18.4
2011,Cotton,9460900,14735400,7475136000,790
2011,Peanuts,1080600,1140600,3658590000,3386
2011,Potatoes,1078500,1100700,430037000,399
2011,Rice,2617000,2689000,184941000,70.67
2011,Sorghum,3945000,5155644.929273556,212993000,54
2011,Soybeans,73776000,75046000,3097179000,42
2011,Sugar beets,1213200,1232800,28896000,23.8
2011,Wheat,45687000,54277000,1993111000,43.6
2012,Barley,3274000,3660000,218990000,66.9
2012,"Corn, grain",87365000,89675770.33043551,10755111000,123.1
2012,"Corn, silage",7419000,7615229.669564483,116148000,15.7
2012,Cotton,9321800,12264400,8310624000,892
2012,Peanuts,1604000,1638000,6753880000,4211
2012,Potatoes,1138500,1154800,464970000,408
2012,Rice,2679000,2700000,199939000,74.63
2012,Sorghum,4995000,5845868.548990277,247742000,49.6
2012,Soybeans,76144000,77198000,3042044000,40
2012,Sugar beets,1204100,1230100,35224000,29.3
2012,Wheat,48758000,55294000,2252307000,46.2
2013,Barley,3040000,3528000,216745000,71.3
2013,"Corn, grain",87461000,88984746.56467375,13830704000,158.1
2013,"Corn, silage",6271000,6380253.435326249,118101000,18.8
2013,Cotton,7539400,10407000,6196416000,822
2013,Peanuts,1043000,1067000,4173170000,4001
2013,Potatoes,1060900,1074000,438662000,413
2013,Rice,2463000,2490000,189500000,76.94
2013,Sorghum,6585000,7635385.498923187,392331000,59.6
2013,Soybeans,76233000,76820000,3357004000,44
2013,Sugar beets,1154000,1198000,32789000,28.4
2013,Wheat,45332000,56236000,2134979000,47.1
2014,Barley,2497000,3031000,181542000,72.7
2014,"Corn, grain",83146000,84158536.89655557,14217292000,171
2014,"Corn, silage",6361000,6438463.1034444235,127843000,20.1
2014,Cotton,9351800,11148400,7833312000,838
2014,Peanuts,1322500,1353500,5188665000,3923
2014,Potatoes,1064700,1076300,448693000,421
2014,Rice,2933000,2954000,222215000,75.76
2014,Sorghum,6401000,6803206.968433592,432575000,67.6
2014,Soybeans,82611000,83296000,3928070000,47.5
2014,Sugar beets,1146300,1162500,31285000,27.3
2014,Wheat,46385000,56841000,2026310000,43.7
2015,Barley,3158000,3583000,218187000,69.1
2015,"Corn, grain",80753000,81708222.86469708,13601964000,168.4
2015,"Corn, silage",6237000,6310777.135302908,127311000,20.4
2015,Cotton,8074900,8580500,6186240000,766
2015,Peanuts,1560900,1625000,6001357000,3845
2015,Potatoes,1070900,1082900,448611000,419
2015,Rice,2584000,2625000,193080000,74.72
2015,Sorghum,7851000,8141670.834865759,596751000,76
2015,Soybeans,81742000,82660000,3926779000,48
2015,Sugar beets,1145400,1159800,35371000,30.9
2015,Wheat,47318000,54999000,2061939000,43.6
2016,Barley,2565000,3059000,199914000,77.9
2016,"Corn, grain",86748000,87727897.58375111,15148038000,174.6
2016,"Corn, silage",6206000,6276102.416248898,126020000,20.3
2016,Cotton,9507800,10073500,8241552000,867
2016,Peanuts,1536000,1671000,5581570000,3634
2016,Potatoes,1037700,1056700,450324000,434
2016,Rice,3097000,3150000,224145000,72.37
2016,Sorghum,6163000,6381437.857916731,480261000,77.9
2016,Soybeans,82706000,83453000,4296496000,51.9
2016,Sugar beets,1126400,1163400,36920000,32.8
2016,Wheat,43848000,50116000,2308663000,52.7
2017,Barley,1962000,2486000,143258000,73
2017,"Corn, grain",82733000,83706842.73659642,14609407000,176.6
2017,"Corn, silage",6385000,6460157.263403578,127434000,20
2017,Cotton,11100400,12717500,10042800000,905
2017,Peanuts,1775600,1871600,7115410000,4007
2017,Potatoes,1044500,1052600,450921000,432
2017,Rice,2374000,2463000,178228000,75.07
2017,Sorghum,5044000,5330956.815621479,361871000,71.7
2017,Soybeans,89542000,90162000,4411633000,49.3
2017,Sugar beets,1113800,1131400,35317000,31.7
2017,Wheat,37555000,46052000,1740910000,46.4
2018,Barley,1982000,2548000,153527000,77.5
2018,"Corn, grain",81276000,82647711.51997803,14340369000,176.4
2018,"Corn, silage",6120000,6223288.480021969,121564000,19.9
2018,Cotton,9990800,14100300,8816160000,882
2018,Peanuts,1373500,1425500,5495935000,4001
2018,Potatoes,1014800,1026500,450020000,443
2018,Rice,2910000,2946000,223833000,76.92
2018,Sorghum,5061000,5407904.225352113,364986000,72.1
2018,Soybeans,87594000,89167000,4428150000,50.6
2018,Sugar beets,1096400,1113100,33282000,30.4
2018,Wheat,39612000,47815000,1885156000,47.6
2019,Barley,2221000,2772000,172499000,77.7
2019,"Corn, grain",81337000,82995145.81817354,13619928000,167.5
2019,"Corn, silage",6615000,6749854.181826451,133522000,20.2
2019,Cotton,11497400,13735700,9558000000,831
2019,Peanuts,1389700,1432700,5466487000,3934
2019,Potatoes,937300,963300,424419000,453
2019,Rice,2477000,2550000,185104000,74.73
2019,Sorghum,4675000,4909029.716792979,341460000,73
2019,Soybeans,74939000,76100000,3551908000,47.4
2019,Sugar beets,980100,1133000,28650000,29.2
2019,Wheat,37394000,45485000,1932017000,51.7
2020,Barley,2214000,2726000,170813000,77.2
2020,"Corn, grain",82313000,83818274.57764198,14111449000,171.4
2020,"Corn, silage",6711000,6833725.422358016,137675000,20.5
2020,Cotton,8216500,12092000,7011600000,853
2020,Peanuts,1615200,1662500,6158350000,3813
2020,Potatoes,911700,918500,420020000,461
2020,Rice,2986000,3036000,227514000,76.19
2020,Sorghum,5095000,5616535.433070866,372960000,73.2
2020,Soybeans,82603000,83354000,4216302000,51
2020,Sugar beets,1141800,1162200,33610000,29.4
2020,Wheat,36789000,44450000,1828043000,49.7
2021,Barley,1948000,2660000,117673000,60.4
2021,"Corn, grain",85388000,NA,15115170000,177
2021,"Corn, silage",6481000,NA,130317000,20.1
2021,Cotton,10272300,11215500,8411040000,819
2021,Peanuts,1545000,1585200,6389300000,4135
2021,Potatoes,935700,943000,409671000,438
2021,Rice,2488000,2532000,191796000,77.09
2021,Sorghum,6490000,NA,447810000,69
2021,Soybeans,86332000,87195000,4435232000,51.4
2021,Sugar beets,1107600,1160000,36751000,33.2
2021,Wheat,37163000,46703000,1645764000,44.3
2022,Barley,2395000,3046000,174852000,73
2022,"Corn, grain",81940000,NA,NA,NA
2022,Cotton,NA,12478000,NA,NA
2022,Peanuts,1502000,1543000,NA,NA
2022,Potatoes,902200,910000,NA,NA
2022,Rice,2308000,2343000,NA,NA
2022,Sorghum,5375000,NA,NA,NA
2022,Soybeans,87511000,88325000,NA,NA
2022,Sugar beets,1146100,1178400,NA,NA
2022,Wheat,37622000,47092000,1780819000,47.3
